original_title,release_date
Curious George,2/10/06
Herbie Fully Loaded,6/22/05
Don't Say a Word,9/28/01
Hansel & Gretel: Witch Hunters,1/17/13
Unfaithful,5/10/02
I Am Number Four,2/18/11
Syriana,11/23/05
13 Hours: The Secret Soldiers of Benghazi,1/13/16
The Book of Life,10/1/14
Firewall,2/10/06
Absolute Power,2/14/97
G.I. Jane,8/22/97
The Game,9/12/97
Silent Hill,4/21/06
The Replacements,8/7/00
American Reunion,4/4/12
The Negotiator,7/29/98
Into the Storm,8/6/14
Beverly Hills Cop III,5/24/94
Gremlins 2: The New Batch,6/15/90
The Judge,10/8/14
The Peacemaker,9/26/97
Resident Evil: Apocalypse,9/10/04
Bridget Jones: The Edge of Reason,11/10/04
Out of Time,10/3/03
On Deadly Ground,2/18/94
The Adventures of Sharkboy and Lavagirl,6/10/05
The Beach,2/11/00
Raising Helen,5/27/04
Ninja Assassin,9/29/09
For Love of the Game,9/17/99
Striptease,6/28/96
Marmaduke,6/4/10
Hereafter,10/15/10
Murder by Numbers,4/19/02
Assassins,10/6/95
Hannibal Rising,2/6/07
The Story of Us,10/13/99
The Host,3/22/13
Basic,4/18/03
Blood Work,8/4/02
The International,2/3/09
Escape from L.A.,8/9/96
The Iron Giant,8/6/99
The Life Aquatic with Steve Zissou,12/10/04
Free State of Jones,6/24/16
The Life of David Gale,2/21/03
Man of the House,2/25/05
Run All Night,3/11/15
Eastern Promises,9/14/07
Into the Blue,9/30/05
Joan of Arc,10/18/99
Your Highness,4/8/11
Dream House,9/30/11
Mad City,11/7/97
Baby's Day Out,7/1/94
The Scarlet Letter,10/13/95
Fair Game,5/20/10
Domino,9/22/05
Jade,10/13/95
Gamer,9/3/09
Beautiful Creatures,2/13/13
Death to Smoochy,3/28/02
Zoolander 2,2/6/16
The Big Bounce,1/30/04
What Planet Are You From?,3/3/00
Drive Angry,2/24/11
Street Fighter: The Legend of Chun-Li,2/27/09
The One,11/2/01
The Adventures of Ford Fairlane,7/11/90
The Boat That Rocked,4/1/09
Traffic,12/27/00
Indiana Jones and the Last Crusade,5/24/89
Anna Karenina,9/6/12
Chappie,3/4/15
The Bone Collector,11/4/99
Panic Room,3/29/02
The Tooth Fairy,8/8/06
Three Kings,9/27/99
Child 44,3/15/15
Rat Race,7/30/01
K-PAX,10/22/01
Kate & Leopold,12/25/01
Bedazzled,10/19/00
The Cotton Club,12/14/84
3:10 to Yuma,9/6/07
Taken 3,12/16/14
Out of Sight,6/26/98
The Cable Guy,6/10/96
1947: Earth,9/16/98
Dick Tracy,6/15/90
The Thomas Crown Affair,8/6/99
Riding in Cars with Boys,10/19/01
First Blood,10/22/82
Happily N'Ever After,9/14/06
Mary Reilly,2/23/96
My Best Friend's Wedding,6/19/97
America's Sweethearts,7/17/01
Insomnia,5/24/02
Star Trek: First Contact,11/21/96
Jonah Hex,6/18/10
Courage Under Fire,7/4/96
Liar Liar,3/21/97
The Infiltrator,7/13/16
Inchon,5/4/81
The Flintstones,5/26/94
Taken 2,9/27/12
Scary Movie 3,10/24/03
Miss Congeniality,12/14/00
Journey to the Center of the Earth,7/10/08
The Princess Diaries 2: Royal Engagement,8/6/04
The Pelican Brief,12/16/93
The Client,7/20/94
The Bucket List,12/25/07
Patriot Games,6/4/92
Monster-in-Law,5/13/05
Prisoners,9/18/13
Training Day,10/5/01
Galaxy Quest,12/23/99
Scary Movie 2,7/4/01
The Muppets,11/22/11
Blade,8/21/98
Coach Carter,1/14/05
Changing Lanes,4/7/02
Anaconda,4/11/97
Coyote Ugly,7/30/00
Love Actually,9/7/03
A Bug's Life,11/25/98
From Hell,10/19/01
The Specialist,10/7/94
Tin Cup,8/16/96
"Yours, Mine and Ours",4/24/68
Kicking & Screaming,5/13/05
The Hitchhiker's Guide to the Galaxy,1/15/05
Fat Albert,12/12/04
Resident Evil: Extinction,9/20/07
Blended,5/21/14
Last Holiday,1/13/06
The River Wild,9/30/94
The Indian in the Cupboard,7/14/95
Savages,7/6/12
Cellular,9/6/04
Johnny English,4/6/03
The Ant Bully,7/27/06
Dune,12/14/84
Across the Universe,9/14/07
Revolutionary Road,12/19/08
16 Blocks,3/1/06
Babylon A.D.,8/20/08
The Glimmer Man,10/4/96
Multiplicity,7/19/96
Aliens in the Attic,7/31/09
The Pledge,1/9/01
The Producers,12/25/05
The Phantom,6/6/96
All the Pretty Horses,12/11/00
Nixon,12/22/95
The Ghost Writer,2/12/10
Deep Rising,1/30/98
Miracle at St. Anna,9/15/08
滿城盡帶黃金甲,12/21/06
Bangkok Dangerous,8/21/08
Big Trouble,4/5/02
Love in the Time of Cholera,10/4/07
Shadow Conspiracy,1/31/97
Johnny English Reborn,9/15/11
Foodfight!,6/15/12
Argo,10/11/12
The Fugitive,8/6/93
The Bounty Hunter,3/16/10
Sleepers,10/18/96
Rambo: First Blood Part II,5/21/85
The Juror,2/2/96
Pinocchio,2/23/40
Heaven's Gate,11/19/80
Underworld: Evolution,1/12/06
Victor Frankenstein,11/10/15
Finding Forrester,12/21/00
28 Days,4/6/00
Unleashed,2/2/05
The Sweetest Thing,4/12/02
The Firm,6/30/93
Charlie St. Cloud,5/1/10
The Mechanic,1/13/11
21 Jump Street,3/12/12
Notting Hill,5/13/99
Chicken Run,6/21/00
Along Came Polly,1/16/04
Boomerang,6/30/92
The Heat,6/27/13
Cleopatra,6/12/63
Here Comes the Boom,10/11/12
High Crimes,4/3/02
The Mirror Has Two Faces,11/15/96
The Mothman Prophecies,1/25/02
Brüno,7/8/09
Licence to Kill,7/7/89
Red Riding Hood,3/11/11
15 Minutes,3/1/01
Super Mario Bros.,5/28/93
Lord of War,9/16/05
英雄,12/19/02
One for the Money,1/26/12
The Interview,12/25/14
The Warrior's Way,12/2/10
Micmacs à tire-larigot,10/28/09
8 Mile,11/8/02
Pourquoi j'ai pas mangé mon père,4/8/15
A Knight's Tale,5/11/01
The Medallion,8/15/03
The Sixth Sense,8/6/99
Man on a Ledge,1/13/12
The Big Year,10/13/11
The Karate Kid,6/22/84
American Hustle,12/12/13
The Proposal,6/1/09
Double Jeopardy,9/24/99
Back to the Future Part II,11/20/89
Lucy,7/14/14
Fifty Shades of Grey,2/11/15
Spy Kids 3-D: Game Over,7/25/03
A Time to Kill,7/24/96
Cheaper by the Dozen,12/24/03
Lone Survivor,12/24/13
A League of Their Own,7/1/92
The Conjuring 2,5/13/16
The Social Network,9/30/10
He's Just Not That Into You,2/6/09
Scary Movie 4,4/13/06
Scream 3,2/3/00
Back to the Future Part III,5/25/90
Get Hard,3/26/15
Dracula,11/13/92
Julie & Julia,8/6/09
42,4/12/13
The Talented Mr. Ripley,12/25/99
Dumb and Dumber To,11/12/14
Eight Below,2/17/06
The Intern,9/24/15
Ride Along 2,1/14/16
The Last of the Mohicans,9/25/92
Ray,10/29/04
Sin City,4/1/05
Vantage Point,2/1/08
"I Love You, Man",3/20/09
Shallow Hal,11/1/01
JFK,12/20/91
Big Momma's House 2,1/26/06
The Mexican,3/1/01
17 Again,3/11/09
The Other Woman,4/16/14
The Final Destination,8/26/09
Bridge of Spies,10/15/15
Behind Enemy Lines,11/17/01
Get Him to the Greek,6/4/10
Shall We Dance?,10/15/04
Small Soldiers,7/10/98
Spawn,7/31/97
The Count of Monte Cristo,1/23/02
The Lincoln Lawyer,3/17/11
Unknown,2/16/11
The Prestige,10/19/06
Horrible Bosses 2,11/26/14
Escape from Planet Earth,2/14/13
Apocalypto,12/7/06
The Living Daylights,6/29/87
Predators,7/3/10
Legal Eagles,6/18/86
Secret Window,3/12/04
The Lake House,6/16/06
The Skeleton Key,7/29/05
The Odd Life of Timothy Green,8/15/12
Made of Honor,5/2/08
Jersey Boys,6/5/14
The Rainmaker,11/18/97
Gothika,11/21/03
Amistad,12/3/97
Medicine Man,2/7/92
Aliens vs Predator: Requiem,12/25/07
Ri¢hie Ri¢h,12/19/94
Autumn in New York,8/11/00
Music and Lyrics,2/9/07
Paul,2/14/11
The Guilt Trip,12/19/12
Scream 4,4/11/11
8MM,2/26/99
The Doors,3/1/91
Sex Tape,7/17/14
Hanging Up,2/16/00
Final Destination 5,8/12/11
Mickey Blue Eyes,8/16/99
Pay It Forward,10/12/00
Fever Pitch,4/6/05
Drillbit Taylor,3/20/08
A Million Ways to Die in the West,5/22/14
The Shadow,7/1/94
Extremely Loud & Incredibly Close,12/24/11
Morning Glory,1/12/10
Get Rich or Die Tryin',11/9/05
The Art of War,8/23/00
Rent,11/23/05
Bless the Child,8/11/00
The Out-of-Towners,4/2/99
The Island of Dr. Moreau,8/23/96
The Musketeer,9/7/01
The Other Boleyn Girl,2/28/08
Sweet November,2/16/01
The Reaping,4/5/07
Mean Streets,10/2/73
Renaissance Man,6/3/94
Colombiana,7/27/11
Quest for Camelot,5/15/98
City By The Sea,9/6/02
At First Sight,1/15/99
Torque,1/16/04
City Hall,2/16/96
Showgirls,9/22/95
Marie Antoinette,5/24/06
Kiss of Death,4/21/95
Get Carter,10/6/00
Lo imposible,9/9/12
Ishtar,5/15/87
Fantastic Mr. Fox,10/23/09
Life or Something Like It,4/26/02
Memoirs of an Invisible Man,2/28/92
Le fabuleux destin d'Amélie Poulain,4/25/01
New York Minute,5/1/04
Alfie,10/22/04
Big Miracle,2/2/12
The Deep End of the Ocean,3/12/99
FearDotCom,8/9/02
Cirque du Freak: The Vampire's Assistant,10/23/09
Duplex,9/26/03
Soul Men,11/7/08
Raise the Titanic,1/1/80
Universal Soldier: The Return,8/5/99
Pandorum,9/8/09
Impostor,12/3/01
Extreme Ops,11/27/02
Just Visiting,4/6/01
Sunshine,4/5/07
A Thousand Words,3/7/12
Delgo,12/12/08
The Gunman,2/16/15
Stormbreaker,7/21/06
Disturbia,4/12/07
Hackers,9/14/95
The Hunting Party,9/3/07
The Hudsucker Proxy,3/11/94
投名狀,12/12/07
Nomad,7/17/05
Snowpiercer,8/1/13
Un monstre à Paris,10/12/11
The Last Shot,9/24/04
The Crow,5/11/94
Baahubali: The Beginning,7/10/15
The Time Traveler's Wife,8/14/09
Because I Said So,2/2/07
Frankenweenie,10/4/12
Serenity,8/25/05
Against the Ropes,2/20/04
Superman III,6/17/83
Grudge Match,12/25/13
Chi bi,7/10/08
Sweet Home Alabama,9/26/02
The Ugly Truth,7/24/09
Sgt. Bilko,3/29/96
Spy Kids 2: The Island of Lost Dreams,8/7/02
Star Trek: Generations,11/17/94
Water for Elephants,3/15/11
Dragon Nest: Warriors' Dawn,5/20/14
The Hurricane,9/17/99
Enough,5/24/02
Heartbreakers,3/23/01
Paul Blart: Mall Cop 2,4/16/15
Angel Eyes,5/15/01
Joe Somebody,12/21/01
The Ninth Gate,8/24/99
Extreme Measures,9/27/96
Rock Star,9/4/01
Precious,11/6/09
White Squall,2/2/96
The Thing,6/25/82
Riddick,9/2/13
Switchback,10/31/97
Texas Rangers,11/30/01
City of Ember,10/7/08
The Master,9/7/12
Virgin Territory,12/17/07
The Express,10/10/08
The 5th Wave,1/14/16
Creed,11/25/15
The Town,9/15/10
What to Expect When You're Expecting,5/17/12
Burn After Reading,9/5/08
Nim's Island,4/3/08
Rush,9/2/13
Magnolia,12/8/99
Cop Out,2/26/10
How to Be Single,1/21/16
Dolphin Tale,9/23/11
Twilight,11/20/08
John Q,2/15/02
Blue Streak,9/17/99
We're the Millers,8/7/13
Obitaemyy Ostrov,12/18/08
Breakdown,5/2/97
Never Say Never Again,10/7/83
Hot Tub Time Machine,3/26/10
Dolphin Tale 2,9/12/14
Reindeer Games,2/25/00
A Man Apart,4/4/03
Aloha,5/27/15
Ghosts of Mississippi,12/20/96
Snow Falling on Cedars,12/22/99
The Rite,1/28/11
Gattaca,9/7/97
Isn't She Great,1/28/00
Space Chimps,7/17/08
Head of State,1/1/03
The Hangover,6/5/09
葉問3,12/19/15
Austin Powers: The Spy Who Shagged Me,6/8/99
Batman,6/23/89
There Be Dragons,3/25/11
Lethal Weapon 3,5/15/92
The Blind Side,11/20/09
Spy Kids,3/18/01
Horrible Bosses,7/8/11
True Grit,12/22/10
The Devil Wears Prada,6/30/06
Star Trek: The Motion Picture,12/6/79
Identity Thief,2/7/13
Cape Fear,11/15/91
21,3/27/08
Trainwreck,7/17/15
Guess Who,3/25/05
The English Patient,11/14/96
L.A. Confidential,9/19/97
Sky High,7/29/05
In & Out,9/10/97
Species,7/7/95
A Nightmare on Elm Street,11/14/84
The Cell,8/17/00
The Man in the Iron Mask,3/12/98
Secretariat,8/20/10
TMNT,3/23/07
Radio,10/24/03
Friends with Benefits,7/21/11
Neighbors 2: Sorority Rising,5/4/16
Saving Mr. Banks,11/16/13
Malcolm X,11/18/92
This Is 40,12/20/12
Old Dogs,11/24/09
Underworld: Rise of the Lycans,1/22/09
License to Wed,7/4/07
The Benchwarmers,4/7/06
Must Love Dogs,7/21/05
Donnie Brasco,2/27/97
Resident Evil,3/15/02
Poltergeist,6/4/82
The Ladykillers,3/25/04
Max Payne,10/15/08
In Time,10/27/11
The Back-Up Plan,4/23/10
Something Borrowed,5/5/11
Black Knight,11/21/01
The Bad News Bears,4/7/76
Street Fighter,12/22/94
The Pianist,9/24/02
The Nativity Story,12/1/06
House of Wax,4/30/05
Closer,12/1/04
J. Edgar,11/9/11
Mirrors,8/15/08
Queen of the Damned,2/10/02
Predator 2,11/20/90
Untraceable,1/22/08
Blast from the Past,2/12/99
Flash Gordon,9/1/80
Jersey Girl,3/25/04
Alex Cross,10/18/12
Midnight in the Garden of Good and Evil,11/21/97
Heist,11/13/15
Nanny McPhee and the Big Bang,3/26/10
Hoffa,12/25/92
The X Files: I Want to Believe,7/24/08
Ella Enchanted,4/9/04
Concussion,11/12/15
Abduction,9/22/11
Valiant,3/25/05
Wonder Boys,2/22/00
Superhero Movie,3/27/08
Broken City,1/18/13
Cursed,2/25/05
Premium Rush,8/24/12
Hot Pursuit,5/8/15
The Four Feathers,9/8/02
Parker,1/23/13
Wimbledon,9/13/04
Furry Vengeance,4/2/10
Bait,9/5/12
Krull,7/29/83
Lions for Lambs,10/22/07
Flight of the Intruder,1/18/91
Walk Hard: The Dewey Cox Story,12/21/07
The Shipping News,12/18/01
American Outlaws,8/17/01
The Young Victoria,3/4/09
Whiteout,9/9/09
The Tree of Life,5/18/11
Knock Off,9/4/98
Sabotage,3/28/14
The Order,9/5/03
Punisher: War Zone,12/5/08
Zoom,8/11/06
The Walk,9/30/15
Warriors of Virtue,5/2/97
A Good Year,9/9/06
Radio Flyer,2/21/92
Bound by Honor,2/5/93
Smilla's Sense of Snow,2/13/97
Femme Fatale,11/6/02
Lion of the Desert,4/17/81
Le Hussard sur le toit,9/20/95
Ride with the Devil,11/24/99
Biutiful,10/20/10
Bandidas,1/18/06
Black Water Transit,5/13/09
The Maze Runner,9/10/14
Unfinished Business,3/5/15
The Age of Innocence,9/17/93
The Fountain,9/6/06
Chill Factor,9/1/99
Stolen,5/17/12
崖の上のポニョ,7/19/08
The Longest Ride,4/9/15
The Astronaut's Wife,8/26/99
I Dreamed of Africa,5/5/00
Playing for Keeps,11/29/12
Mandela: Long Walk to Freedom,12/6/13
Reds,12/25/81
A Few Good Men,12/11/92
Exit Wounds,3/13/01
Big Momma's House,5/31/00
The House of Magic,12/24/13
The Darkest Hour,12/22/11
Step Up Revolution,7/26/12
Snakes on a Plane,8/6/06
The Watcher,9/8/00
The Punisher,4/15/04
Goal!: The Dream Begins,6/6/05
Safe,4/16/12
Pushing Tin,4/23/99
Return of the Jedi,5/23/83
Doomsday,3/14/08
The Reader,12/10/08
Wanderlust,2/23/12
Elf,10/9/03
Phenomenon,7/5/96
Snow Dogs,1/18/02
Scrooged,11/22/88
Nacho Libre,6/16/06
Bridesmaids,4/28/11
This Is the End,6/12/13
Stigmata,9/10/99
Men of Honor,9/13/00
Takers,8/26/10
The Big Wedding,4/25/13
"Big Mommas: Like Father, Like Son",2/16/11
Source Code,3/30/11
Alive,1/15/93
The Number 23,2/23/07
The Young and Prodigious T.S. Spivet,10/16/13
1941,12/13/79
Dreamer: Inspired By a True Story,9/10/05
A History of Violence,9/23/05
Transporter 2,8/2/05
The Quick and the Dead,2/9/95
Laws of Attraction,4/4/04
Bringing Out the Dead,10/22/99
Repo Men,3/18/10
디워,2/8/07
Bogus,9/6/96
The Incredible Burt Wonderstone,3/14/13
Cats Don't Dance,3/26/97
Cradle Will Rock,12/10/99
The Good German,12/8/06
George and the Dragon,3/28/04
Apocalypse Now,8/15/79
Going the Distance,9/1/10
Mr. Holland's Opus,12/29/95
Criminal,4/14/16
Out of Africa,12/20/85
Flight,11/2/12
Moonraker,6/26/79
The Grand Budapest Hotel,2/26/14
Hearts in Atlantis,9/7/01
Arachnophobia,8/9/90
Frequency,4/28/00
Vacation,7/28/15
Get Shorty,10/20/95
Chicago,12/26/02
Big Daddy,6/25/99
American Pie 2,8/10/01
Toy Story,10/30/95
Speed,6/9/94
The Vow,2/5/12
Extraordinary Measures,1/21/10
Remember the Titans,9/29/00
The Hunt for Red October,3/2/90
The Butler,8/16/13
DodgeBall: A True Underdog Story,6/18/04
The Addams Family,11/22/91
Ace Ventura: When Nature Calls,11/10/95
The Princess Diaries,8/3/01
The First Wives Club,9/20/96
Se7en,9/22/95
District 9,8/5/09
The SpongeBob SquarePants Movie,11/14/04
Mystic River,10/7/03
Million Dollar Baby,12/15/04
Analyze This,3/5/99
The Notebook,6/25/04
27 Dresses,1/10/08
Hannah Montana: The Movie,4/10/09
Rugrats in Paris: The Movie,9/14/00
The Prince of Tides,12/25/91
Legends of the Fall,12/16/94
Up in the Air,9/5/09
About Schmidt,12/13/02
Warm Bodies,1/31/13
Looper,9/26/12
Down to Earth,2/16/01
Babe,7/18/95
Hope Springs,8/7/12
Forgetting Sarah Marshall,4/17/08
Four Brothers,8/11/05
Baby Mama,4/23/08
Hope Floats,5/29/98
Bride Wars,1/9/09
Without a Paddle,8/20/04
13 Going on 30,4/13/04
Midnight in Paris,5/11/11
The Nut Job,1/17/14
Blow,4/4/01
Message in a Bottle,2/22/99
Star Trek V: The Final Frontier,6/9/89
Like Mike,7/3/02
The Naked Gun 33⅓: The Final Insult,3/18/94
A View to a Kill,5/24/85
The Curse of the Were-Rabbit,9/4/05
P.S. I Love You,11/15/07
Racing Stripes,1/6/05
Atonement,8/29/07
Letters to Juliet,5/14/10
Black Rain,9/22/89
The Three Stooges,4/13/12
Corpse Bride,9/9/05
Glory Road,1/13/06
Sicario,9/17/15
Southpaw,6/15/15
Drag Me to Hell,3/15/09
The Age of Adaline,4/16/15
Secondhand Lions,9/19/03
Step Up 3D,8/4/10
Blue Crush,8/8/02
Stranger Than Fiction,9/9/06
30 Days of Night,10/17/07
The Cabin in the Woods,4/12/12
Meet the Spartans,1/24/08
Midnight Run,7/20/88
The Running Man,11/13/87
Little Shop of Horrors,12/19/86
Hanna,4/7/11
Mortal Kombat: Annihilation,11/21/97
Larry Crowne,6/30/11
Carrie,10/16/13
Take the Lead,3/17/06
Gridiron Gang,9/15/06
What's the Worst That Could Happen?,5/31/01
9,8/19/09
Side Effects,2/7/13
The Prince & Me,3/28/04
Winnie the Pooh,4/13/11
Dumb and Dumberer: When Harry Met Lloyd,6/13/03
Bulworth,5/15/98
Get on Up,8/1/14
One True Thing,9/18/98
Virtuosity,8/4/95
My Super Ex-Girlfriend,6/20/06
Deliver Us from Evil,7/1/14
Sanctum,2/3/11
Little Black Book,8/6/04
The Five-Year Engagement,4/27/12
Mr. 3000,6/15/04
The Next Three Days,11/18/10
Ultraviolet,3/3/06
Assault on Precinct 13,1/19/05
The Replacement Killers,2/6/98
Fled,7/19/96
Eight Legged Freaks,7/17/02
Love & Other Drugs,11/22/10
88 Minutes,2/14/07
North Country,2/12/05
The Whole Ten Yards,4/7/04
Splice,10/6/09
Howard the Duck,8/1/86
Pride and Glory,9/9/08
The Cave,8/25/05
Alex & Emma,6/16/03
Wicker Park,9/3/04
Fright Night,8/18/11
The New World,12/25/05
Wing Commander,3/11/99
In Dreams,1/15/99
Dragonball Evolution,4/1/09
The Last Stand,1/12/13
Godsend,4/30/04
Chasing Liberty,1/9/04
Hoodwinked Too! Hood VS. Evil,4/29/11
An Unfinished Life,9/9/05
The Imaginarium of Doctor Parnassus,10/1/09
Barney's Version,10/26/10
Runner Runner,9/24/13
Antitrust,1/12/01
Glory,12/15/89
Once Upon a Time in America,2/16/84
Dead Man Down,3/8/13
The Merchant of Venice,9/3/04
The Good Thief,4/3/03
Supercross,8/16/05
Miss Potter,12/3/06
Wu Ji,12/15/05
DOA: Dead or Alive,9/7/06
The Assassination of Jesse James by the Coward Robert Ford,9/2/07
辛亥革命,7/3/11
Le petit Nicolas,9/30/09
Wild Card,1/14/15
Machine Gun Preacher,9/23/11
Konferenz der Tiere,10/7/10
Goodbye Bafana,2/11/07
United Passions,6/19/14
Grace of Monaco,5/14/14
Ripley's Game,9/2/02
Sausage Party,7/11/16
Pitch Perfect 2,5/7/15
Walk the Line,9/13/05
Keeping the Faith,4/14/00
The Borrowers,12/5/97
Frost/Nixon,10/15/08
Confessions of a Dangerous Mind,12/30/02
Serving Sara,8/20/02
The Boss,4/7/16
Cry Freedom,11/5/87
Mumford,9/24/99
Seed of Chucky,11/11/04
The Jacket,3/4/05
Aladdin,11/25/92
Straight Outta Compton,8/13/15
Indiana Jones and the Temple of Doom,5/23/84
The Rugrats Movie,11/20/98
Along Came a Spider,4/6/01
Florence Foster Jenkins,5/6/16
Once Upon a Time in Mexico,9/11/03
Die Hard,7/15/88
Role Models,2/3/08
The Big Short,12/11/15
Taking Woodstock,9/3/09
Miracle,2/6/04
Dawn of the Dead,3/19/04
The Wedding Planner,1/26/01
The Royal Tenenbaums,10/5/01
Identity,4/25/03
Last Vegas,10/31/13
For Your Eyes Only,6/23/81
Serendipity,10/5/01
Timecop,9/15/94
Zoolander,9/28/01
Safe Haven,2/7/13
Hocus Pocus,7/16/93
No Reservations,7/25/07
Kick-Ass,3/22/10
30 Minutes or Less,8/11/11
Dracula 2000,12/22/00
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/8/14
Pride & Prejudice,9/16/05
Blade Runner,6/25/82
Rob Roy,4/13/95
3 Days to Kill,2/14/14
We Own the Night,5/25/07
Lost Souls,10/13/00
Le peuple migrateur,12/12/01
Just My Luck,5/12/06
"Mystery, Alaska",10/1/99
The Spy Next Door,1/15/10
A Simple Wish,7/11/97
Ghosts of Mars,8/24/01
Our Brand Is Crisis,9/11/15
Pride and Prejudice and Zombies,2/4/16
Kundun,12/25/97
How to Lose Friends & Alienate People,10/2/08
Kick-Ass 2,7/17/13
Alatriste,9/1/06
Brick Mansions,4/22/14
Octopussy,6/5/83
Knocked Up,6/1/07
My Sister's Keeper,6/26/09
Welcome Home Roscoe Jenkins,2/8/08
A Passage to India,12/14/84
Notes on a Scandal,12/25/06
Rendition,9/7/07
Star Trek VI: The Undiscovered Country,12/5/91
Divine Secrets of the Ya-Ya Sisterhood,6/7/02
Kiss the Girls,10/3/97
The Blues Brothers,6/17/80
The Sisterhood of the Traveling Pants 2,8/6/08
Joyful Noise,1/13/12
About a Boy,4/26/02
Lake Placid,7/15/99
Lucky Number Slevin,2/24/06
The Right Stuff,10/20/83
Anonymous,10/21/11
The Neverending Story,4/5/84
Dark City,2/27/98
The Duchess,9/5/08
Return to Oz,6/21/85
The Newton Boys,3/26/98
Case 39,8/13/09
Suspect Zero,8/27/04
Martian Child,11/2/07
Spy Kids: All the Time in the World,8/18/11
Money Monster,5/12/16
The 51st State,12/7/01
Flawless,11/26/99
Mindhunters,5/7/04
What Just Happened,10/17/08
The Statement,12/12/03
The Magic Flute,9/7/06
Paul Blart: Mall Cop,1/15/09
Freaky Friday,8/3/03
The 40 Year Old Virgin,8/11/05
Shakespeare in Love,12/11/98
A Walk Among the Tombstones,9/18/14
Kindergarten Cop,12/21/90
Pineapple Express,8/6/08
EverAfter,7/31/98
Open Range,8/29/03
Flatliners,8/9/90
A Bridge Too Far,6/15/77
Red Eye,8/4/05
Final Destination 2,1/31/03
"O Brother, Where Art Thou?",8/30/00
Legion,1/21/10
Pain & Gain,4/18/13
In Good Company,12/29/04
Clockstoppers,3/17/02
Silverado,7/10/85
Brothers,1/27/09
Agent Cody Banks 2: Destination London,12/3/04
New Year's Eve,12/8/11
Original Sin,8/3/01
The Raven,3/9/12
Welcome to Mooseport,2/24/04
Highlander III: The Sorcerer,11/29/94
Blood and Wine,10/3/96
Snow White: A Tale of Terror,7/18/97
The Curse of the Jade Scorpion,8/5/01
Accidental Love,2/10/15
Flipper,5/17/96
Self/less,7/10/15
The Constant Gardener,8/31/05
The Passion of the Christ,2/25/04
Mrs. Doubtfire,11/24/93
Rain Man,12/11/88
Gran Torino,12/9/08
W.,10/17/08
Taken,2/18/08
The Best of Me,10/16/14
The Bodyguard,11/25/92
Schindler's List,11/29/93
The Help,8/9/11
The Fifth Estate,10/11/13
Scooby-Doo 2: Monsters Unleashed,3/24/04
Viy,1/30/14
Freddy vs. Jason,8/15/03
The Face of an Angel,9/6/14
Jimmy Neutron: Boy Genius,12/21/01
Cloverfield,1/15/08
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3/22/91
The Untouchables,6/2/87
No Country for Old Men,11/8/07
Ride Along,1/7/14
Bridget Jones's Diary,4/13/01
Chocolat,12/14/00
"Legally Blonde 2: Red, White & Blonde",7/2/03
Parental Guidance,12/25/12
No Strings Attached,1/21/11
Tombstone,12/25/93
Romeo Must Die,3/20/00
The Omen,6/6/76
Final Destination 3,2/10/06
The Lucky One,4/19/12
Bridge to Terabithia,2/16/07
Finding Neverland,10/17/04
A Madea Christmas,12/13/13
The Grey,1/26/12
Hide and Seek,1/27/05
Anchorman: The Legend of Ron Burgundy,7/9/04
GoodFellas,9/12/90
Agent Cody Banks,3/14/03
Nanny McPhee,10/21/05
Scarface,12/8/83
Nothing to Lose,7/18/97
The Last Emperor,10/21/87
Contraband,1/12/12
Money Talks,8/22/97
There Will Be Blood,12/28/07
The Wild Thornberrys Movie,12/20/02
Rugrats Go Wild,6/13/03
Undercover Brother,5/31/02
The Sisterhood of the Traveling Pants,6/1/05
Kiss of the Dragon,7/6/01
The House Bunny,8/22/08
Beauty Shop,6/2/05
Million Dollar Arm,5/9/14
The Giver,8/11/14
What a Girl Wants,3/27/03
Jeepers Creepers 2,8/8/03
Good Luck Chuck,9/21/07
Cradle 2 the Grave,2/28/03
The Hours,12/27/02
She's the Man,3/17/06
Mr. Bean's Holiday,3/22/07
Anacondas: The Hunt for the Blood Orchid,8/26/04
Blood Ties,8/22/13
August Rush,11/21/07
Elizabeth,9/13/98
Bride of Chucky,10/16/98
Tora! Tora! Tora!,1/26/70
Spice World,12/19/97
The Sitter,12/9/11
Dance Flick,5/22/09
The Shawshank Redemption,9/23/94
Crocodile Dundee in Los Angeles,4/12/01
Kingpin,7/4/96
The Gambler,12/25/14
August: Osage County,12/26/13
Ice Princess,3/17/05
A Lot Like Love,4/22/05
Eddie the Eagle,2/26/16
He Got Game,5/1/98
Don Juan DeMarco,10/1/94
Dear John,2/4/10
The Losers,4/23/10
Don't Be Afraid of the Dark,11/6/10
War,8/24/07
Punch-Drunk Love,10/25/02
EuroTrip,2/20/04
Half Past Dead,11/15/02
Unaccompanied Minors,12/8/06
"Bright Lights, Big City",4/1/88
The Adventures of Pinocchio,7/26/96
The Greatest Game Ever Played,9/30/05
The Box,9/17/09
The Ruins,4/2/08
The Next Best Thing,3/3/00
My Soul to Take,10/8/10
The Girl Next Door,4/9/04
Maximum Risk,9/13/96
Stealing Harvard,9/13/02
Legend,9/9/15
Hot Rod,8/3/07
Shark Night,9/2/11
Angela's Ashes,12/25/99
Draft Day,4/11/14
Lifeforce,6/20/85
The Conspirator,9/10/10
Lords of Dogtown,6/3/05
The 33,8/6/15
